id,name,genre,followers
2wY79sveU1sp5g7SokKOiI,Sam Smith,pop,20816519
3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,pop,827509
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,pop,38574820
46pWGuE3dSwY3bMMXGBvVS,Rema,pop,1415896
1URnnhqYAYcrqrcwql10ft,21 Savage,rap,12085209
3TVXtAsR1Inumwj472S9r4,Drake,rap,69088297
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,pop,2989248
6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,alternative hip hop,1996229
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,pop,25038984
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,pop,7727059
246dkjvS1zLTtiykXe5h60,Post Malone,rap,38849587
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,pop,23058904
3Nrfpe0tUJi4K4DXYWgMUX,BTS,pop,57849048
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,pop,5087045
0EmeFodog0BfCgMzAIvKQp,Shakira,pop,25631514
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,rap,34405132
4XC335ouK6pXyq4QiIb8bP,Eliza Rose,house,23528
26dSoYclwsYLMAKD3tpOr4,Britney Spears,pop,11535782
3PhoLpVuITZKcymswpck5b,Elton John,mellow gold,10444558
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,rap,21399433
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,pop,4077600
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,pop,67698500
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,pop,4093726
52iwsT98xCoGgiGntTiR7K,Quevedo,rap,748502
716NhGYqD1jl2wI1Qkgq36,Bizarrap,rap,7863085
1RyvyyTE3xzB2ZywiAwp0i,Future,rap,12495624
0VRj0yCOv2FXJNP47XQnx5,Quavo,rap,6080567
3EW0kQ1skZiK1NHg3Spt9J,Takeoff,rap,1355868
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,rap,5356719
2GRDbUJRZwKzeiwxrjJdmQ,2Rare,rap,33781
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,rap,8608695
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,pop,4414553
4Gso3d4CscCijv0lmajZWs,Don Toliver,pop,2370672
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,rap,8121451
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,rap,4723074
0Njy6yR9LykNKYg9yE23QN,Nardo Wick,rap,495312
6AgTAQt8XS6jRWi4sX7w49,Polo G,rap,8647248
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,pop,4831065
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,rap,6888209
0YinUQ50QDB7ZxSCLyQ40k,Mustard,pop,1010480
3hcs9uc56yIGFCSy9leWe7,Lil Durk,rap,4784153
2SJhf6rTOU53g8yBdAjPby,SoFaygo,rap,499426
3gBZUcNeVumkeeJ19CY2sX,Ken Carson,rap,268813
5QdEbQJ3ylBnc3gsIASAT5,G Herbo,rap,1662337
0WK3H9OErSn5zKOkOV5egm,DDG,rap,851380
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,rap,2517267
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,rap,26534268
64KEffDW9EtZ1y2vBYgq8T,Marshmello,pop,34557398
4IprNlQiJZUUJhDl0fL2SL,Quando Rondo,rap,2120176
4FlG0V0jhLO4qGpayFOphj,EST Gee,rap,319227
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,rap,14063662
5SXuuuRpukkTvsLuUknva1,Baby Keem,rap,1181667
2qoQgPAilErOKCwE2Y8wOG,GloRilla,rap,109256
4kYSro6naA4h99UJvo89HB,Cardi B,pop,20686569
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,pop,2690942
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,rap,1158260
78u1jLVBjPSXQVmHBV43yG,Alborosie,reggae,610249
1ybINI1qPiFbwDXamRtwxD,Smino,rap,719484
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,rap,18409568
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,rap,5774077
4tIKaxUmpXzshok2yCnwdf,King Promise,pop,305087
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,country,4458536
5QNm7E7RU2m64l6Gliu8Oy,HARDY,country,236745
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson,country,83083
1v3tdpIdBSW14rHUfiEVOv,Lauren Alaina,country,567051
68abRTdO4meYReMWHvBYb0,Chris Lane,country,862426
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,country,6750429
6yJCxee7QumYr820xdIsjo,Zac Brown Band,country,3354175
3bhu7P5PfngueRHiB9hjcx,Elle King,rock,516691
7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,country,2924947
0fiWOxhsBsQQvFDtxUQWo0,Brett Young,country,945430
2qwXeRk8VBAegbUnf3xdyi,Ashley Cooke,country,53330
2LRoIwlKmHjgvigdNGBHNo,Feid,rap,2702750
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,pop,192627
790FomKkXshlbRYZFtlgla,KAROL G,reggaeton,30127108
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,rap,10812997
4bw2Am3p9ji3mYsXNXtQcd,Piso 21,rap,8600627
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,pop,3325489
4IndUOBCZYZg61557iq2A9,Maldy,reggaeton,54514
1bAftSH8umNcGZ0uyV7LMg,Duki,rap,7360374
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,rap,5822276
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,r&b,6302767
0GgyFUpOyzWDRDqx8FCTDN,Baby Rasta,rap,1769854
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,rap,14474457
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,rap,19447731
6nVcHLIgY5pE2YCl8ubca1,Jhayco,rap,207752
41vcoPejPG3vv8emJ2R5Ox,Pablito Pesadilla,rap,68985
5NenY2Jl9wwLRxf86go4Y8,Fran C,rap,56746
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,rap,2560759
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,rap,4102967
1r4hJ1h58CWwUQe3MxPuau,Maluma,reggaeton,32651193
7FNnA9vBm6EKceENgCGRMb,Anitta,pop,12396855
0Q8NcsJwoCbZOHHW63su5S,Mora,rap,1044559
4bYPcJP5jwMhSivRcqie2n,Adam Levine,deep,972530
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,rap,2789110
7vXDAI8JwjW531ouMGbfcp,TINI,pop,5210726
3abT87tqQ4Q5PA5nw6CYyH,Ángela Aguilar,nueva musica mexicana,687646
5B8ApeENp4bE4EE3LI8jK2,Yuridia,pop,3092529
31TPClRtHm23RisEBtV3X7,Justin Timberlake,pop,12368551
1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,rap,8622318
2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,rap,2861700
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,rap,9968722
5EBlHXi71tDXnFtroEh7Rg,Naomi Wild,pop,13207
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,pop,4874369
3DNCUaKdMZcMVJIS7yTskd,Mayorkun,pop,708585
3WTrdbZU99dgTtt3ZkyamT,Oxlade,pop,302980
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,rap,6270773
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,rap,30296006
7iK8PXO48WeuP03g8YR51W,Myke Towers,rap,9915131
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,pop,21583184
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,rock,5904323
5nHR37FDSU4I0QQta0AZ1C,Ross Copperman,neo mellow,42615
5wONG6j4El6k5iOXQdA0Ha,Kate York,pop,2636
1E5hfn5BduN2nnoZCJmUVG,Victony,pop,175057
4iRmNYPp7K9YaLrQXohMPr,KTIZO,pop,2237
2J4IvVbi2h1wB2A0p5kd86,Xenia Manasseh,r&b,12889
5I48tG854vS1rY1isuMOgQ,Ukweli,pop,1439
0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,edm,959870
2rTo8KIkBTFjQS7VvaKYQ4,W&W,edm,797432
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,rap,385631
1wlzPS1hSNrkriIIwLFTmU,MIKE,underground hip hop,83465
052uglZ4PgpVs8YxEOViXz,Lord Apex,uk alternative hip hop,53494
4GoD5FJCgC0lbzde7ly44M,Biig Piig,r&b,215416
1uiEZYehlNivdK3iQyAbye,Tom Misch,soul,1078992
2hk94pAZS1iYSqoICeTyh1,Supershy,soul,13647
0y42IQBDFigO5mmEd1bGQG,i_o,edm,87756
5pdyjBIaY5o1yOyexGIUc6,Lights,pop,290480
2R21vXR83lH98kGeO99Y66,Anuel AA,rap,25060736
0OQ8y7heASb1vEX5WXvjCr,Aaron Cole,christian hip hop,67189
3UjPnt2nRmw10N58bBeNOg,Xavier Omär,r&b,360626
1FDE7zZ6jmP8HHb9ej3mek,Sara Watkins,new americana,44847
6AyATGg7mDgBlZ4N5uNog0,SYML,pop,557329
1hII0FUxBvpT7bnuS7TQ6q,Philip Strand,pop,4802
3XINWZaloea97SIRiyTJxX,DubVision,edm,301010
1PU4kQGbRVMSyvawEYEjFp,Chris James,r&b,30823
3iri9nBFs9e4wN7PLIetAw,gnash,pop,1586841
379IT6Szv0zgnw4xrdu4mu,LADIPOE,pop,389844
6HAro8NBhDtn8csZDPEBuB,Oladapo,pop,12932
4u5smJBskI6Adzv08PuiUP,Kiiara,pop,876286
6VD4UEUPvtsemqD3mmTqCR,Deorro,edm,1203936
2xe5FZM6bB4k1KhfTZBBSx,SkyDxddy,alt z,81395
3aDih8lIm5GOfAaorpUg5Y,LYELL,pop,6354
01XgbvLicKQELx7NqHgi5G,David Rawlings,new,32774
6RDNTAgm2s6ae71nXWGnJD,Alex Metric,uk dance,27218
0gg11prPP6OqtUvBcKnPpq,Rylo Rodriguez,rap,249946
3PGiywHOqNwJ1bv4S3fgZF,Big Yavo,rap,85546
1RRY8KBuZYuhAAJRgdDlP9,Ole-Bjørn Talstad,background,822
5Y1YwWzFX7BIxBbdAOXOEJ,Klur,tropical house,7179
0HyM2wwUfOsZYD4Dj5IOOZ,Alexandra Streliski,indie,84022
459INk8vcC0ebEef82WjIK,Erik Satie,classical,688163
2JgcaYYHEGDqrKKJzuVda5,Illuminine,compositional ambient,7930
3NMfMCA11Xo7RUc91o64Og,Hideyuki Hashimoto,background,18223
3tVQdUvClmAT7URs9V3rsp,Wizkid,pop,2933881
17Zu03OgBVxgLxWmRUyNOJ,Knxwledge,hip hop,195627
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,pop,5712818
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,pop,592140
3aVoqlJOYx31lH1gibGDt3,Babyface,r&b,902831
57LYzLEk2LcFghVwuWbcuS,Summer Walker,pop,4300638
1FtBEIWAwvw5ymBen5GICR,Chlöe,pop,222142
3MdXrJWsbVzdn6fe5JYkSQ,Latto,pop,915398
7ibAWtDtmEfaVhc1FJ3Vl9,Eric Bellinger,pop,761979
7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,pop,192449
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,pop,6196974
59wfkuBoNyhDMQGCljbUbA,Diddy,pop,1386562
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,pop,17566301
3KedxarmBCyFBevnqQHy3P,Jessie Reyez,pop,1202331
4IVAbR2w4JJNJDDRFP3E83,6LACK,pop,3784121
5Vuvs6Py2JRU7WiFDVsI7J,Lucky Daye,pop,465160
0hhGFNFQrdE34ZYR1CaBYN,JVCK JAMES,r&b,40788
6gj3sMEZYP6IESIptoXnrP,Ambré,r&b,64287
2NdeV5rLm47xAvogXrYhJX,Ciara,pop,5903383
1W7FNibLa0O0b572tB2w7t,Pink Sweat$,pop,1489383
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,pop,6305682
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,r&b,339936
4qXC0i02bSFstECuXP2ZpL,Blxst,pop,356059
6TvjXbopXg71XRM9OZWqUc,Arin Ray,r&b,245210
3QTDHixorJelOLxoxcjqGx,SiR,rap,752315
6UJ1HBEJnAZ1aVPlJZPf61,Scribz Riley,rap,17856
7E2ioKxoxI2J94tUkIx6As,Alex Isley,r&b,123901
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,rock,8726275
1dfeR4HaWDbWqFHLkxsg1d,Queen,rock,43797895
4J69yWrKwWJgjv3DKTZcGo,Big Brother & The Holding Company,rock,237898
4NgfOZCL9Ml67xzM0xzIvC,Janis Joplin,rock,2951411
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,pop,6598099
45dkTj5sMRSjrmBSBeiHym,Tate McRae,pop,3206139
2CIMQHirSU0MQqyYHq0eOx,deadmau5,edm,2756837
2avRYQUWQpIkzJOEkf0MdY,Kx5,edm,30508
205i7E8fNVfojowcQSfK9m,Dom Dolla,edm,172207
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,alternative hip hop,9551951
4oLeXFyACqeem2VImYeBFe,Fred again..,edm,406742
240wlM8vDrf6S4zCyzGj2W,CamelPhat,edm,318387
1yqxFtPHKcGcv6SXZNdyT9,MK,edm,254546
5ITI6SEoUZMIXXkzCfr4oE,Aluna,edm,46062
0XfQBWgzisaS9ltDV9bXAS,Honey Dijon,deep house,90820
5Igpc9iLZ3YGtKeYfSrrOE,Chris Lake,edm,245016
0NGAZxHanS9e0iNHpR8f2W,Alok,electro house,11888726
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,pop,11350495
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,pop,870134
7gHscNMDI8FF8pcgrV8eIn,Matt Maeson,rock,381139
0xRXCcSX89eobfrshSVdyu,MEDUZA,pop,571225
28uJnu5EsrGml2tBd7y8ts,Vintage Culture,edm,1687204
14MtanGZe4G1fzC8raLFUK,Danny Howard,house,21678
39B7ChWwrWDs7zXlsu3MoP,Sonny Fodera,edm,134217
0mMqD2uqwvCjFvlzo6ayGi,DJ Maphorisa,pop,1579728
1VJ0briNOlXRtJUAzoUJdt,FISHER,house,696450
19HFRWmRCl27kTk6LeqAO8,MORTEN,pop,78960
0QaSiI5TLA4N7mcsdxShDO,Sub Focus,uk dance,347015
1QMgre3BHX161ZHtWMUu6S,Dimension,drum and bass,76367
0GG2cWaonE4JPrjcCCQ1EG,SG Lewis,edm,300415
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,pop,3179737
12Zk1DFhCbHY6v3xep2ZjI,070 Shake,rap,402564
5KKpBU5eC2tJDzf0wmlRp2,RAYE,pop,558584
1294QqYm1VuxxjRiL9M0h9,UPSAHL,pop,281499
