Id,Label,timeset,name,genre,followers,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,stat_inf_class
2wY79sveU1sp5g7SokKOiI,,,Sam Smith,pop,20816519,0,13,27,13,0.180024,0.208232,0.006414,0.133273,589,517
3Xt3RrJMFv5SZkCfUE8C1J,,,Kim Petras,pop,827509,0,1,7,14,0.152566,0.168265,0,0.013126,589,517
0C8ZW7ezQVs4URX5aX7Kqx,,,Selena Gomez,pop,38574820,0,9,16,13,0.183741,0.210857,0.001506,0.12009,39,28
46pWGuE3dSwY3bMMXGBvVS,,,Rema,nigerian pop,1415896,0,9,20,13,0.17023,0.19394,0.001139,0.06939,589,525
1URnnhqYAYcrqrcwql10ft,,,21 Savage,rap,12085209,0,14,44,12,0.187134,0.212778,0.002938,0.28875,127,67
3TVXtAsR1Inumwj472S9r4,,,Drake,rap,69088297,0,44,152,12,0.207931,0.247231,0.03042,1,127,71
3t5xRXzsuZmMDkQzgOX35S,,,Robin Schulz,pop,2989248,0,13,30,13,0.17507,0.203564,0.004615,0.10751,39,1277
6TLwD7HPWuiOzvXEa3oCNe,,,Oliver Tree,alternative hip hop,1996229,0,7,7,13,0.166545,0.192795,0.002664,0.070216,252,486
1Cs0zKBU1kc0i8ypK3B9ai,,,David Guetta,pop,25038984,0,40,143,12,0.202425,0.245955,0.018421,0.63316,39,414
64M6ah0SkkRsnPGtGiRAbb,,,Bebe Rexha,pop,7727059,0,8,15,13,0.176728,0.206763,0.001836,0.132386,39,270
246dkjvS1zLTtiykXe5h60,,,Post Malone,rap,38849587,0,18,57,12,0.190933,0.224143,0.005299,0.463424,127,298
5cj0lLjcoR7YOSnhnX0Po5,,,Doja Cat,pop,23058904,0,8,16,13,0.182214,0.207154,0.000414,0.164316,127,31
3Nrfpe0tUJi4K4DXYWgMUX,,,BTS,k-pop,57849048,0,9,22,12,0.180946,0.206403,0.001595,0.137768,127,413
6HaGTQPmzraVmaVxvz6EUc,,,Jung Kook,k-pop,5087045,0,2,9,13,0.158355,0.175158,0.000014,0.022894,127,413
0EmeFodog0BfCgMzAIvKQp,,,Shakira,dance pop,25631514,0,10,13,13,0.183751,0.210345,0.002516,0.177765,39,3
1i8SpTcr7yvPOmcqrbnVXY,,,Ozuna,trap latino,34405132,0,13,75,13,0.174834,0.20324,0.001702,0.145175,39,3
4XC335ouK6pXyq4QiIb8bP,,,Eliza Rose,house,23528,1,1,4,1,1,1,0,0.00103,0,334
26dSoYclwsYLMAKD3tpOr4,,,Britney Spears,pop,11535782,0,7,22,12,0.182461,0.208361,0.000345,0.195508,127,138
3PhoLpVuITZKcymswpck5b,,,Elton John,mellow gold,10444558,0,14,29,12,0.186961,0.215542,0.004963,0.18223,127,545
0Y5tJX1MQlPlqiwlOH1tJY,,,Travis Scott,rap,21399433,0,16,77,12,0.198052,0.228924,0.003834,0.506324,127,199
2RdwBSPQiwcmiDo9kixcl8,,,Pharrell Williams,pop,4077600,0,17,68,12,0.198972,0.227258,0.031042,0.307569,127,538
1uNFoZAHBGtllmzznpCI3s,,,Justin Bieber,pop,67698500,0,40,101,12,0.20366,0.248323,0.020238,0.75134,589,160
2tIP7SsRs7vjIcLrU85W8J,,,The Kid LAROI,pop,4093726,0,5,9,13,0.176436,0.201741,0.001755,0.090357,589,35
52iwsT98xCoGgiGntTiR7K,,,Quevedo,trap latino,748502,0,4,7,14,0.139908,0.151804,0.00016,0.011183,39,3
716NhGYqD1jl2wI1Qkgq36,,,Bizarrap,trap,7863085,0,6,6,14,0.147471,0.162365,0.000408,0.019248,39,3
1RyvyyTE3xzB2ZywiAwp0i,,,Future,rap,12495624,0,36,113,12,0.202685,0.241528,0.013238,0.824801,127,51
0VRj0yCOv2FXJNP47XQnx5,,,Quavo,rap,6080567,0,11,91,12,0.186443,0.215354,0.001093,0.257444,127,300
3EW0kQ1skZiK1NHg3Spt9J,,,Takeoff,rap,1355868,0,1,14,13,0.157151,0.172968,0,0.020952,127,300
0ErzCpIMyLcjPiwT4elrtZ,,,NLE Choppa,viral rap,5356719,0,3,5,14,0.137789,0.148236,0.000316,0.00739,127,67
2GRDbUJRZwKzeiwxrjJdmQ,,,2Rare,rap,33781,0,2,2,13,0.155646,0.170004,0.000284,0.024133,127,67
757aE44tKEUQEqRuT6GnEB,,,Roddy Ricch,rap,8608695,0,11,11,12,0.181505,0.209727,0.000541,0.233589,127,154
7c0XG5cIJTrrAgEC3ULPiq,,,Ty Dolla $ign,pop,4414553,0,15,22,12,0.190106,0.218999,0.002548,0.30946,127,309
4Gso3d4CscCijv0lmajZWs,,,Don Toliver,pop,2370672,0,8,28,12,0.180336,0.208045,0.000388,0.21618,127,81
6Xgp2XMz1fhVYe7i6yNAax,,,Trippie Redd,rap,8121451,0,6,6,13,0.161003,0.180998,0.000242,0.046626,127,81
2hlmm7s2ICUX0LVIhVFlZQ,,,Gunna,rap,4723074,0,12,33,12,0.179464,0.204594,0.001436,0.23151,127,67
0Njy6yR9LykNKYg9yE23QN,,,Nardo Wick,rap,495312,0,3,8,13,0.166965,0.183742,0.000053,0.048861,127,153
6AgTAQt8XS6jRWi4sX7w49,,,Polo G,rap,8647248,0,3,3,13,0.16159,0.180019,0.000031,0.030439,127,153
2jku7tDXc6XoB6MO2hFuqg,,,Tory Lanez,pop,4831065,0,3,13,13,0.159668,0.176164,0.000592,0.028622,433,297
31W5EY0aAly4Qieq6OFu6I,,,A Boogie Wit da Hoodie,rap,6888209,0,8,17,13,0.178522,0.205205,0.00126,0.146979,39,297
0YinUQ50QDB7ZxSCLyQ40k,,,Mustard,pop,1010480,0,5,23,13,0.166369,0.185978,0.000335,0.076001,127,300
3hcs9uc56yIGFCSy9leWe7,,,Lil Durk,rap,4784153,0,14,30,12,0.184207,0.209914,0.00129,0.274673,127,366
2SJhf6rTOU53g8yBdAjPby,,,SoFaygo,rap,499426,0,2,3,14,0.152655,0.16839,0.000158,0.0161,127,81
3gBZUcNeVumkeeJ19CY2sX,,,Ken Carson,rap,268813,0,1,2,15,0.132443,0.142288,0,0.002329,127,81
5QdEbQJ3ylBnc3gsIASAT5,,,G Herbo,rap,1662337,0,5,7,13,0.152758,0.167867,0.000486,0.026767,456,67
0WK3H9OErSn5zKOkOV5egm,,,DDG,rap,851380,0,3,5,13,0.152764,0.167652,0.000203,0.024856,127,67
4DdkRBBYG6Yk9Ka8tdJ9BW,,,Offset,rap,2517267,0,6,12,14,0.149648,0.164534,0.000298,0.027431,456,67
4MCBfE4596Uoi2O4DtmEMz,,,Juice WRLD,rap,26534268,0,10,16,13,0.184067,0.212169,0.000989,0.206717,127,81
64KEffDW9EtZ1y2vBYgq8T,,,Marshmello,pop,34557398,0,17,25,13,0.189088,0.220527,0.004768,0.197827,162,234
4IprNlQiJZUUJhDl0fL2SL,,,Quando Rondo,trap,2120176,0,1,2,13,0.152253,0.16717,0,0.014878,127,54
4FlG0V0jhLO4qGpayFOphj,,,EST Gee,rap,319227,0,4,5,13,0.170637,0.192154,0.000022,0.10753,127,39
4O15NlyKLIASxsJ0PrXPfz,,,Lil Uzi Vert,rap,14063662,0,12,16,13,0.180131,0.208171,0.002465,0.168458,127,81
5SXuuuRpukkTvsLuUknva1,,,Baby Keem,rap,1181667,0,3,6,13,0.167657,0.188217,0.000025,0.078908,127,81
2qoQgPAilErOKCwE2Y8wOG,,,GloRilla,rap,109256,0,2,2,14,0.15534,0.170332,0.000158,0.018732,127,0
4kYSro6naA4h99UJvo89HB,,,Cardi B,pop,20686569,0,13,34,13,0.183881,0.21091,0.001203,0.200365,127,0
2LIk90788K0zvyj2JJVwkJ,,,Jack Harlow,pop,2690942,0,7,14,13,0.177556,0.201149,0.000693,0.168061,433,188
6EPlBSH2RSiettczlz7ihV,,,Sleepy Hallow,nyc rap,1158260,0,3,3,15,0.135153,0.145723,0.000209,0.005411,623,1067
78u1jLVBjPSXQVmHBV43yG,,,Alborosie,reggae,610249,0,2,2,16,0.125643,0.134682,0.000059,0.004239,623,1067
1ybINI1qPiFbwDXamRtwxD,,,Smino,rap,719484,0,10,21,13,0.167711,0.189876,0.001271,0.060854,141,164
6l3HvQ5sa6mXTsMTB19rO5,,,J. Cole,rap,18409568,0,9,14,12,0.174265,0.198902,0.000948,0.100697,127,153
1anyVhU62p31KFi8MEzkbf,,,Chance the Rapper,rap,5774077,0,10,25,13,0.173327,0.200958,0.001856,0.106321,589,206
4tIKaxUmpXzshok2yCnwdf,,,King Promise,afropop,305087,0,3,3,14,0.155353,0.170732,0.000009,0.021089,589,206
3oSJ7TBVCWMDMiYjXNiCKE,,,Kane Brown,country,4458536,0,7,9,13,0.173039,0.195367,0.003364,0.060882,127,532
5QNm7E7RU2m64l6Gliu8Oy,,,HARDY,country,236745,0,5,9,14,0.146115,0.161825,0.000466,0.016785,106,599
6tPHARSq45lQ8BSALCfkFC,,,Lainey Wilson,country,83083,0,1,1,15,0.127492,0.137277,0,0.003098,106,599
1v3tdpIdBSW14rHUfiEVOv,,,Lauren Alaina,country,567051,0,7,23,14,0.149458,0.16472,0.00198,0.017083,106,599
68abRTdO4meYReMWHvBYb0,,,Chris Lane,country,862426,0,2,2,14,0.139303,0.153434,0.000121,0.010301,106,599
1UTPBmNbXNTittyMJrNkvw,,,Blake Shelton,country,6750429,0,11,29,13,0.167487,0.190586,0.005913,0.071409,127,599
6yJCxee7QumYr820xdIsjo,,,Zac Brown Band,country,3354175,0,7,9,14,0.144451,0.159352,0.003423,0.017117,162,599
3bhu7P5PfngueRHiB9hjcx,,,Elle King,rock,516691,0,4,7,15,0.129858,0.141039,0.000551,0.006826,106,599
7x8nK0m0cP2ksQf0mjWdPS,,,Dierks Bentley,country,2924947,0,3,4,15,0.123147,0.132891,0.000191,0.005497,106,599
0fiWOxhsBsQQvFDtxUQWo0,,,Brett Young,country,945430,0,4,4,14,0.134395,0.148943,0.000257,0.010233,106,599
2qwXeRk8VBAegbUnf3xdyi,,,Ashley Cooke,country,53330,0,2,2,14,0.131571,0.144388,0.000053,0.008092,106,599
2LRoIwlKmHjgvigdNGBHNo,,,Feid,trap latino,2702750,0,8,14,13,0.157185,0.177285,0.000843,0.042629,39,3
3m5qlPf2OkihLz3dRYnkPA,,,Ovy On The Drums,latin pop,192627,0,3,5,13,0.151764,0.167689,0.000194,0.016757,39,3
790FomKkXshlbRYZFtlgla,,,KAROL G,reggaeton,30127108,0,10,12,12,0.178671,0.205888,0.001977,0.134546,39,3
0tmwSHipWxN12fsoLcFU3B,,,Manuel Turizo,trap latino,10812997,0,6,24,14,0.150858,0.167355,0.000308,0.029691,39,3
4bw2Am3p9ji3mYsXNXtQcd,,,Piso 21,trap latino,8600627,0,1,1,15,0.131088,0.141098,0,0.004401,39,3
1DxLCyH42yaHKGK3cl5bvG,,,Maria Becerra,latin pop,3325489,0,5,5,13,0.162224,0.181645,0.000175,0.04959,39,3
4IndUOBCZYZg61557iq2A9,,,Maldy,reggaeton,54514,0,1,1,13,0.151593,0.166826,0,0.012628,39,3
1bAftSH8umNcGZ0uyV7LMg,,,Duki,trap latino,7360374,0,7,13,14,0.157635,0.175136,0.000962,0.032397,39,3
1wZtkThiXbVNtj6hee6dz9,,,Wisin & Yandel,trap latino,5822276,0,4,6,13,0.152752,0.167372,0.000186,0.021859,39,3
7ltDVBr6mKbRvohxheJ9h1,,,ROSALÍA,r&b,6302767,0,4,4,13,0.168753,0.186897,0.000266,0.049303,589,3
0GgyFUpOyzWDRDqx8FCTDN,,,Baby Rasta,trap latino,1769854,0,1,2,14,0.142566,0.1546,0,0.00927,39,3
1mcTU81TzQhprhouKaTkpq,,,Rauw Alejandro,trap latino,14474457,0,15,49,13,0.166263,0.187462,0.00217,0.0752,39,3
3vQ0GE3mI0dAaxIMYe5g7z,,,Paulo Londra,trap latino,19447731,0,3,4,14,0.146162,0.161877,0.000203,0.01701,39,3
6nVcHLIgY5pE2YCl8ubca1,,,Jhayco,trap latino,207752,0,5,11,13,0.156328,0.172547,0.0001,0.034644,39,3
41vcoPejPG3vv8emJ2R5Ox,,,Pablito Pesadilla,trap latino,68985,2,1,6,1,1,1,0,0.00103,1,1
5NenY2Jl9wwLRxf86go4Y8,,,Fran C,trap latino,56746,2,1,6,1,1,1,0,0.00103,1,1
