source,target,weight
2wY79sveU1sp5g7SokKOiI,3Xt3RrJMFv5SZkCfUE8C1J,7
0C8ZW7ezQVs4URX5aX7Kqx,46pWGuE3dSwY3bMMXGBvVS,1
1URnnhqYAYcrqrcwql10ft,3TVXtAsR1Inumwj472S9r4,9
3t5xRXzsuZmMDkQzgOX35S,6TLwD7HPWuiOzvXEa3oCNe,1
1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb,4
246dkjvS1zLTtiykXe5h60,5cj0lLjcoR7YOSnhnX0Po5,1
3Nrfpe0tUJi4K4DXYWgMUX,6HaGTQPmzraVmaVxvz6EUc,6
0EmeFodog0BfCgMzAIvKQp,1i8SpTcr7yvPOmcqrbnVXY,1
26dSoYclwsYLMAKD3tpOr4,3PhoLpVuITZKcymswpck5b,4
0Y5tJX1MQlPlqiwlOH1tJY,2RdwBSPQiwcmiDo9kixcl8,1
1uNFoZAHBGtllmzznpCI3s,2tIP7SsRs7vjIcLrU85W8J,3
52iwsT98xCoGgiGntTiR7K,716NhGYqD1jl2wI1Qkgq36,1
1RyvyyTE3xzB2ZywiAwp0i,3TVXtAsR1Inumwj472S9r4,17
0VRj0yCOv2FXJNP47XQnx5,3EW0kQ1skZiK1NHg3Spt9J,14
0Y5tJX1MQlPlqiwlOH1tJY,1URnnhqYAYcrqrcwql10ft,3
0ErzCpIMyLcjPiwT4elrtZ,2GRDbUJRZwKzeiwxrjJdmQ,1
757aE44tKEUQEqRuT6GnEB,7c0XG5cIJTrrAgEC3ULPiq,1
4Gso3d4CscCijv0lmajZWs,6Xgp2XMz1fhVYe7i6yNAax,1
0VRj0yCOv2FXJNP47XQnx5,2hlmm7s2ICUX0LVIhVFlZQ,6
0Njy6yR9LykNKYg9yE23QN,6AgTAQt8XS6jRWi4sX7w49,1
2jku7tDXc6XoB6MO2hFuqg,31W5EY0aAly4Qieq6OFu6I,1
0YinUQ50QDB7ZxSCLyQ40k,3hcs9uc56yIGFCSy9leWe7,3
2SJhf6rTOU53g8yBdAjPby,3gBZUcNeVumkeeJ19CY2sX,2
2hlmm7s2ICUX0LVIhVFlZQ,5QdEbQJ3ylBnc3gsIASAT5,1
0WK3H9OErSn5zKOkOV5egm,4DdkRBBYG6Yk9Ka8tdJ9BW,1
4MCBfE4596Uoi2O4DtmEMz,64KEffDW9EtZ1y2vBYgq8T,2
3hcs9uc56yIGFCSy9leWe7,757aE44tKEUQEqRuT6GnEB,1
1RyvyyTE3xzB2ZywiAwp0i,4FlG0V0jhLO4qGpayFOphj,2
4O15NlyKLIASxsJ0PrXPfz,5SXuuuRpukkTvsLuUknva1,1
2qoQgPAilErOKCwE2Y8wOG,4kYSro6naA4h99UJvo89HB,1
2LIk90788K0zvyj2JJVwkJ,4FlG0V0jhLO4qGpayFOphj,1
6EPlBSH2RSiettczlz7ihV,78u1jLVBjPSXQVmHBV43yG,1
1ybINI1qPiFbwDXamRtwxD,6l3HvQ5sa6mXTsMTB19rO5,2
1anyVhU62p31KFi8MEzkbf,4tIKaxUmpXzshok2yCnwdf,1
5QNm7E7RU2m64l6Gliu8Oy,6tPHARSq45lQ8BSALCfkFC,1
1v3tdpIdBSW14rHUfiEVOv,68abRTdO4meYReMWHvBYb0,1
1UTPBmNbXNTittyMJrNkvw,6yJCxee7QumYr820xdIsjo,1
3bhu7P5PfngueRHiB9hjcx,7x8nK0m0cP2ksQf0mjWdPS,2
0fiWOxhsBsQQvFDtxUQWo0,2qwXeRk8VBAegbUnf3xdyi,1
1i8SpTcr7yvPOmcqrbnVXY,2LRoIwlKmHjgvigdNGBHNo,2
3m5qlPf2OkihLz3dRYnkPA,790FomKkXshlbRYZFtlgla,1
0tmwSHipWxN12fsoLcFU3B,4bw2Am3p9ji3mYsXNXtQcd,1
0tmwSHipWxN12fsoLcFU3B,1DxLCyH42yaHKGK3cl5bvG,1
4IndUOBCZYZg61557iq2A9,790FomKkXshlbRYZFtlgla,1
1bAftSH8umNcGZ0uyV7LMg,716NhGYqD1jl2wI1Qkgq36,1
1wZtkThiXbVNtj6hee6dz9,7ltDVBr6mKbRvohxheJ9h1,1
0GgyFUpOyzWDRDqx8FCTDN,1mcTU81TzQhprhouKaTkpq,2
2LRoIwlKmHjgvigdNGBHNo,3vQ0GE3mI0dAaxIMYe5g7z,2
2LRoIwlKmHjgvigdNGBHNo,6nVcHLIgY5pE2YCl8ubca1,3
41vcoPejPG3vv8emJ2R5Ox,5NenY2Jl9wwLRxf86go4Y8,6
2oQX8QiMXOyuqbcZEFsZfm,2x7PC78TmgqpEIjaGAZ0Oz,3
1r4hJ1h58CWwUQe3MxPuau,7FNnA9vBm6EKceENgCGRMb,1
0Q8NcsJwoCbZOHHW63su5S,6nVcHLIgY5pE2YCl8ubca1,2
1mcTU81TzQhprhouKaTkpq,1wZtkThiXbVNtj6hee6dz9,1
1r4hJ1h58CWwUQe3MxPuau,4bYPcJP5jwMhSivRcqie2n,3
5Y3MV9DZ0d87NnVm56qSY1,7vXDAI8JwjW531ouMGbfcp,1
2x7PC78TmgqpEIjaGAZ0Oz,5Y3MV9DZ0d87NnVm56qSY1,2
3abT87tqQ4Q5PA5nw6CYyH,5B8ApeENp4bE4EE3LI8jK2,2
0EmeFodog0BfCgMzAIvKQp,1mcTU81TzQhprhouKaTkpq,1
1GDbiv3spRmZ1XdM1jQbT7,1wZtkThiXbVNtj6hee6dz9,3
0Q8NcsJwoCbZOHHW63su5S,2cPqdH7XMvwaBJEVjheH8g,1
4IprNlQiJZUUJhDl0fL2SL,7wlFDEWiM5OoIAt8RSli8b,2
5EBlHXi71tDXnFtroEh7Rg,6TIYQ3jFPwQSRmorSezPxX,1
3DNCUaKdMZcMVJIS7yTskd,3WTrdbZU99dgTtt3ZkyamT,1
4VMYDCV2IEDYJArk749S6m,7iK8PXO48WeuP03g8YR51W,1
5ZsFI1h6hIdQRw2ti0hz81,776Uo845nYHJpNaStv1Ds4,1
5nHR37FDSU4I0QQta0AZ1C,5wONG6j4El6k5iOXQdA0Ha,1
1E5hfn5BduN2nnoZCJmUVG,4iRmNYPp7K9YaLrQXohMPr,3
2J4IvVbi2h1wB2A0p5kd86,5I48tG854vS1rY1isuMOgQ,2
0CbeG1224FS58EUx4tPevZ,2rTo8KIkBTFjQS7VvaKYQ4,3
0eVyjRhzZKke2KFYTcDkeu,1wlzPS1hSNrkriIIwLFTmU,3
052uglZ4PgpVs8YxEOViXz,4GoD5FJCgC0lbzde7ly44M,3
1uiEZYehlNivdK3iQyAbye,2hk94pAZS1iYSqoICeTyh1,1
0Q8NcsJwoCbZOHHW63su5S,52iwsT98xCoGgiGntTiR7K,4
0y42IQBDFigO5mmEd1bGQG,5pdyjBIaY5o1yOyexGIUc6,2
0OQ8y7heASb1vEX5WXvjCr,3UjPnt2nRmw10N58bBeNOg,1
1FDE7zZ6jmP8HHb9ej3mek,6AyATGg7mDgBlZ4N5uNog0,1
1hII0FUxBvpT7bnuS7TQ6q,3XINWZaloea97SIRiyTJxX,3
1PU4kQGbRVMSyvawEYEjFp,3iri9nBFs9e4wN7PLIetAw,1
379IT6Szv0zgnw4xrdu4mu,6HAro8NBhDtn8csZDPEBuB,6
4u5smJBskI6Adzv08PuiUP,6VD4UEUPvtsemqD3mmTqCR,3
2xe5FZM6bB4k1KhfTZBBSx,3aDih8lIm5GOfAaorpUg5Y,1
0gg11prPP6OqtUvBcKnPpq,3PGiywHOqNwJ1bv4S3fgZF,1
1RRY8KBuZYuhAAJRgdDlP9,5Y1YwWzFX7BIxBbdAOXOEJ,1
0HyM2wwUfOsZYD4Dj5IOOZ,459INk8vcC0ebEef82WjIK,1
2JgcaYYHEGDqrKKJzuVda5,3NMfMCA11Xo7RUc91o64Og,3
17Zu03OgBVxgLxWmRUyNOJ,3Y7RZ31TRPVadSFVy1o8os,6
1vaQ6v3pOFxAIrFoPrAcom,3aVoqlJOYx31lH1gibGDt3,1
1vaQ6v3pOFxAIrFoPrAcom,57LYzLEk2LcFghVwuWbcuS,3
1FtBEIWAwvw5ymBen5GICR,3MdXrJWsbVzdn6fe5JYkSQ,1
7ibAWtDtmEfaVhc1FJ3Vl9,7tjVFCxJdwT4NdrTmjyjQ6,1
2EMAnMvWE2eb56ToJVfCWs,59wfkuBoNyhDMQGCljbUbA,7
3tVQdUvClmAT7URs9V3rsp,7bXgB6jMjp9ATFy66eO08Z,3
3KedxarmBCyFBevnqQHy3P,4IVAbR2w4JJNJDDRFP3E83,1
1vaQ6v3pOFxAIrFoPrAcom,5Vuvs6Py2JRU7WiFDVsI7J,1
0hhGFNFQrdE34ZYR1CaBYN,6gj3sMEZYP6IESIptoXnrP,1
2NdeV5rLm47xAvogXrYhJX,57LYzLEk2LcFghVwuWbcuS,1
1W7FNibLa0O0b572tB2w7t,31W5EY0aAly4Qieq6OFu6I,1
0cGUm45nv7Z6M6qdXYQGTX,3aVoqlJOYx31lH1gibGDt3,1
1FtBEIWAwvw5ymBen5GICR,1vaQ6v3pOFxAIrFoPrAcom,1
4qXC0i02bSFstECuXP2ZpL,6TvjXbopXg71XRM9OZWqUc,1
3QTDHixorJelOLxoxcjqGx,6UJ1HBEJnAZ1aVPlJZPf61,1
0oSGxfWSnnOXhD2fKuz2Gy,1dfeR4HaWDbWqFHLkxsg1d,2
4J69yWrKwWJgjv3DKTZcGo,4NgfOZCL9Ml67xzM0xzIvC,4
2o5jDhtHVPhrJdv3cEQ99Z,45dkTj5sMRSjrmBSBeiHym,1
2CIMQHirSU0MQqyYHq0eOx,2avRYQUWQpIkzJOEkf0MdY,35
205i7E8fNVfojowcQSfK9m,3AA28KZvwAUcZuOKwyblJQ,6
1yqxFtPHKcGcv6SXZNdyT9,5ITI6SEoUZMIXXkzCfr4oE,1
0NGAZxHanS9e0iNHpR8f2W,0X2BH1fck6amBIoJhDVmmJ,3
2ZRQcIgzPCVaT9XKhXZIzh,7gHscNMDI8FF8pcgrV8eIn,1
0xRXCcSX89eobfrshSVdyu,28uJnu5EsrGml2tBd7y8ts,3
14MtanGZe4G1fzC8raLFUK,39B7ChWwrWDs7zXlsu3MoP,6
19HFRWmRCl27kTk6LeqAO8,1Cs0zKBU1kc0i8ypK3B9ai,14
0QaSiI5TLA4N7mcsdxShDO,1QMgre3BHX161ZHtWMUu6S,1
0GG2cWaonE4JPrjcCCQ1EG,4NHQUGzhtTLFvgF5SZesLK,2
12Zk1DFhCbHY6v3xep2ZjI,5KKpBU5eC2tJDzf0wmlRp2,3
1294QqYm1VuxxjRiL9M0h9,7vk5e3vY1uw9plTHJAMwjN,1
1IueXOQyABrMOprrzwQJWN,5ENS85nZShljwNgg4wFD7D,3
2ZRQcIgzPCVaT9XKhXZIzh,67MNhiAICFY6Pwc2YxCO0K,2
144HzhpLjcR9k37w5Ico9B,2YVF0Ou5zIc4mpgtLIlGN0,1
0g5BdWwyb5SWkGnz9p4neX,5Dyfxq0ZrFjjeFBdSNxDbo,1
